Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
MSFT,0,51,3636,27.5,26.19,100000.00,95236.37,-4763.634422
MSFT,55,56,3711,25.66,25.81,95236.37,95793.08,556.7193528
MSFT,61,94,3732,25.67,25.2,95793.08,94039.18,-1753.902766
MSFT,122,139,3662,25.68,26.23,94039.18,96053.26,2014.076239
MSFT,142,145,3723,25.8,26.22,96053.26,97616.92,1563.658025
MSFT,146,149,3792,25.74,26.5,97616.92,100499.16,2882.24085
MSFT,154,164,3867,25.99,25.89,100499.16,100112.47,-386.6854234
MSFT,183,185,3852,25.99,26.53,100112.47,102192.53,2080.062598
MSFT,186,187,3893,26.25,26.8,102192.53,104333.71,2141.173942
MSFT,189,191,3982,26.2,26.91,104333.71,107161.07,2827.360125
MSFT,194,221,4111,26.07,26.04,107161.07,107037.76,-123.3103675
MSFT,222,223,4146,25.82,26.02,107037.76,107866.87,829.1105169
MSFT,224,225,4155,25.96,26.77,107866.87,111232.52,3365.651573
MSFT,289,290,3564,31.21,31.52,111232.52,112337.37,1104.845724
MSFT,291,300,3612,31.1,32.42,112337.37,117105.37,4768.008769
MSFT,308,341,3683,31.8,30.7,117105.37,113054.57,-4050.809327
MSFT,343,344,3751,30.14,30.7,113054.57,115155.12,2100.554518
MSFT,345,349,3855,29.87,30.59,115155.12,117930.87,2775.748408
MSFT,354,361,3931,30,30.45,117930.87,119699.83,1768.966024
MSFT,364,368,4088,29.28,29.76,119699.83,121662.12,1962.290449
MSFT,369,373,4105,29.64,29.75,121662.12,122113.64,451.5151235
MSFT,410,475,4048,30.17,27.62,122113.64,111792.47,-10321.16963
MSFT,476,486,4102,27.25,27.25,111792.47,111792.47,0
MSFT,593,594,3360,33.27,33.72,111792.47,113304.54,1512.073827
MSFT,600,602,3338,33.94,34.21,113304.54,114205.91,901.3635833
MSFT,612,637,3637,31.4,34.75,114205.91,126390.30,12184.38978
